id1,id2,FieldOfStudyName1,FieldOfStudyName2,distance
terms1,terms51,bio,comp,0.17999999970197678
terms1,terms52,bio,comp,0.11401754143170621
terms1,terms53,bio,comp,0.2901723693084246
terms1,terms54,bio,comp,0.24413111296167198
terms1,terms55,bio,comp,0.24041630201164693
terms1,terms56,bio,comp,0.1529705834498036
terms1,terms57,bio,comp,0.21377558397530735
terms1,terms58,bio,comp,0.15524174529242962
terms1,terms59,bio,comp,0.18867962158285373
terms1,terms60,bio,comp,0.22627416755625143
terms1,terms61,bio,comp,0.13892443772782775
terms1,terms62,bio,comp,0.17117242571012214
terms1,terms63,bio,comp,0.12806248334071887
terms1,terms64,bio,comp,0.23769728390981837
terms1,terms65,bio,comp,0.21095023053218365
terms1,terms66,bio,comp,0.3199999928474426
terms1,terms67,bio,comp,0.20223748728566246
terms1,terms68,bio,comp,0.21213203488279989
terms1,terms69,bio,comp,0.20591260690120716
terms1,terms70,bio,comp,0.2236067964171786
terms1,terms71,bio,comp,0.33241540088916227
terms1,terms72,bio,comp,0.25079872018207683
terms1,terms73,bio,comp,0.18027756150013827
terms1,terms74,bio,comp,0.2886173968290488
terms1,terms75,bio,comp,0.2816025522981675
terms1,terms76,bio,comp,0.19924858577434587
terms1,terms77,bio,comp,0.23259407164338622
terms1,terms78,bio,comp,0.1708800745749813
terms1,terms79,bio,comp,0.11999999918043613
terms1,terms80,bio,comp,0.23086792600192876
terms1,terms81,bio,comp,0.09848857751867643
terms1,terms82,bio,comp,0.10440306507483278
terms1,terms83,bio,comp,0.2416609182324964
terms1,terms84,bio,comp,0.26999999582767487
terms1,terms85,bio,comp,0.2236067964171786
terms1,terms86,bio,comp,0.21587033206012946
terms1,terms87,bio,comp,0.22022715433901807
terms1,terms88,bio,comp,0.08999999985098839
terms1,terms89,bio,comp,0.13038404690404276
terms1,terms90,bio,comp,0.20223748673305122
terms1,terms91,bio,comp,0.212602916759335
terms1,terms92,bio,comp,0.10049875637430836
terms1,terms93,bio,comp,0.14764823335754296
terms1,terms94,bio,comp,0.20808651733747316
terms1,terms95,bio,comp,0.2899999975644309
terms1,terms96,bio,comp,0.20615528073877365
terms1,terms97,bio,comp,0.186815416336428
terms1,terms98,bio,comp,0.1081665373960236
terms1,terms99,bio,comp,0.20808651733747316
terms1,terms100,bio,comp,0.09055385100289585
terms1,terms101,bio,soc,0.29410881789985155
terms1,terms102,bio,soc,0.28844409765631035
terms1,terms103,bio,soc,0.3275667998341578
terms1,terms104,bio,soc,0.2624880959842971
terms1,terms105,bio,soc,0.31827661636380505
terms1,terms106,bio,soc,0.3744328946753806
terms1,terms107,bio,soc,0.30016662429800983
terms1,terms108,bio,soc,0.366196666543225
terms1,terms109,bio,soc,0.27202942134937164
terms1,terms110,bio,soc,0.2061552839010783
terms1,terms111,bio,soc,0.19924858689614766
terms1,terms112,bio,soc,0.38832976248877143
terms1,terms113,bio,soc,0.2701851235421311
terms1,terms114,bio,soc,0.18357559939004392
terms1,terms115,bio,soc,0.3280243954061806
terms1,terms116,bio,soc,0.2968164542242639
terms1,terms117,bio,soc,0.297321376069014
terms1,terms118,bio,soc,0.2687005840158525
terms1,terms119,bio,soc,0.29410881789985155
terms1,terms120,bio,soc,0.1941648781745903
terms1,terms121,bio,soc,0.1769180560698316
terms1,terms122,bio,soc,0.31827661144788616
terms1,terms123,bio,soc,0.19104973147244117
terms1,terms124,bio,soc,0.3047950125643387
terms1,terms125,bio,soc,0.32756678903017533
terms1,terms126,bio,soc,0.2765863285467615
terms1,terms127,bio,soc,0.2433104957735153
terms1,terms128,bio,soc,0.30083219389070104
terms1,terms129,bio,soc,0.24083188588346519
terms1,terms130,bio,soc,0.36891732601162597
terms1,terms131,bio,soc,0.06324555296775963
terms1,terms132,bio,soc,0.23323807792767795
terms1,terms133,bio,soc,0.3889730154640126
terms1,terms134,bio,soc,0.41617302858806143
terms1,terms135,bio,soc,0.35355339354355314
terms1,terms136,bio,soc,0.32557640716206465
terms1,terms137,bio,soc,0.2302172840041182
terms1,terms138,bio,soc,0.1769180560698316
terms1,terms139,bio,soc,0.178885437533583
terms1,terms140,bio,soc,0.23323807792767795
