id1,id2,FieldOfStudyName,distance
terms1,terms2,bio,0.17000000178813934
terms1,terms3,bio,0.18027756335991563
terms1,terms4,bio,0.056568546498874654
terms1,terms5,bio,0.07280110622046344
terms1,terms6,bio,0.08062257544989779
terms1,terms7,bio,0.20808652038091566
terms1,terms8,bio,0.16492422314539412
terms1,terms9,bio,0.06403124559745975
terms1,terms10,bio,0.1252996396959594
terms1,terms11,bio,0.07000000774860382
terms1,terms12,bio,0.0984885788425374
terms1,terms13,bio,0.2000000074505808
terms1,terms14,bio,0.0806225782222903
terms1,terms15,bio,0.18027756501305103
terms1,terms16,bio,0.12083045873086419
terms1,terms17,bio,0.23409399648298723
terms1,terms18,bio,0.16278820358103233
terms1,terms19,bio,0.212132028033937
terms1,terms20,bio,0.16278820781462353
terms1,terms21,bio,0.23086793140749667
terms1,terms22,bio,0.14866068765862175
terms1,terms23,bio,0.07000000774860382
terms1,terms24,bio,0.05830951860345674
terms1,terms25,bio,0.14866068552860554
terms1,terms26,bio,0.022360678442197583
terms1,terms27,bio,0.11704699824149362
terms1,terms28,bio,0.21840329102915954
terms1,terms29,bio,0.230867928825733
terms1,terms30,bio,0.040000006556510925
terms1,terms31,bio,0.12649110357943863
terms1,terms32,bio,0.2886173968290488
terms1,terms33,bio,0.09848857581656978
terms1,terms34,bio,0.09219545200771509
terms1,terms35,bio,0.12083045873086419
terms1,terms36,bio,0.14999999105930328
terms1,terms37,bio,0.1414213525494603
terms1,terms38,bio,0.10440305972256136
terms1,terms39,bio,0.11661903720691348
terms1,terms40,bio,0.21633307892488574
terms1,terms41,bio,0.094339808224707
terms1,terms42,bio,0.05385164375470629
terms1,terms43,bio,0.20248456849063132
terms1,terms44,bio,0.0854400348894233
terms1,terms45,bio,0.22135943244205802
terms1,terms46,bio,0.15264337022655494
terms1,terms47,bio,0.230867928825733
terms1,terms48,bio,0.11401754224853014
terms1,terms49,bio,0.1780449356326661
terms1,terms50,bio,0.13999999687075615
terms2,terms3,bio,0.014142132673451555
terms2,terms4,bio,0.1360147095791307
terms2,terms5,bio,0.16552945887471768
terms2,terms6,bio,0.0905538547054013
terms2,terms7,bio,0.1772004544435545
terms2,terms8,bio,0.04123106391798915
terms2,terms9,bio,0.12649111123670023
terms2,terms10,bio,0.15556349365228153
terms2,terms11,bio,0.24000000953674316
terms2,terms12,bio,0.08944272543079347
terms2,terms13,bio,0.16763055828516885
terms2,terms14,bio,0.1969771626022713
terms2,terms15,bio,0.20248457051440003
terms2,terms16,bio,0.16278820770020208
terms2,terms17,bio,0.094339808224707
terms2,terms18,bio,0.1208304610431684
terms2,terms19,bio,0.04999999403953588
terms2,terms20,bio,0.13416408481418912
terms2,terms21,bio,0.06324555414579995
terms2,terms22,bio,0.18439089148943164
terms2,terms23,bio,0.18384776771223516
terms2,terms24,bio,0.12369317187662351
terms2,terms25,bio,0.13038404976121
terms2,terms26,bio,0.15033296587518324
terms2,terms27,bio,0.23706539233801935
terms2,terms28,bio,0.0721110228642636
terms2,terms29,bio,0.08602325724350003
terms2,terms30,bio,0.17464249520803435
terms2,terms31,bio,0.06403124530656329
terms2,terms32,bio,0.13038405176122722
terms2,terms33,bio,0.08944272209879246
terms2,terms34,bio,0.24041631185107673
terms2,terms35,bio,0.16278820770020208
terms2,terms36,bio,0.226715676400549
terms2,terms37,bio,0.036055514531760986
terms2,terms38,bio,0.22360679774997907
terms2,terms39,bio,0.09219544917926378
terms2,terms40,bio,0.12041595036657708
terms2,terms41,bio,0.23409399648298723
terms2,terms42,bio,0.22090721877880345
terms2,terms43,bio,0.10999999940395355
terms2,terms44,bio,0.16124515783077648
terms2,terms45,bio,0.08062258007055247
terms2,terms46,bio,0.1581138811235547
terms2,terms47,bio,0.08602325724350003
terms2,terms48,bio,0.2282542465343475
terms2,terms49,bio,0.152315462625999
