FieldOfStudyName,id,recovered_abstract
bio,terms1,Gene editing
bio,terms2,Protein folding
bio,terms3,Mass spectrometry
bio,terms4,Cell signaling
bio,terms5,DNA methylation
bio,terms6,RNA splicing
bio,terms7,Enzyme kinetics
bio,terms8,Membrane transport
bio,terms9,Chromatin remodeling
bio,terms10,Metabolic flux
bio,terms11,Immune profiling
bio,terms12,Vaccine adjuvant
bio,terms13,Tumor microenvironment
bio,terms14,Stem differentiation
bio,terms15,Lipidomics analysis
bio,terms16,Phage therapy
bio,terms17,Molecular docking
bio,terms18,Flow cytometry
bio,terms19,Quantum dots
bio,terms20,Peptide synthesis
bio,terms21,Electrophoretic mobility
bio,terms22,Oxidative phosphorylation
bio,terms23,Allosteric regulation
bio,terms24,Signal transduction
bio,terms25,CRISPR screening
bio,terms26,Bioinformatics pipeline
bio,terms27,Neuroimaging biomarker
bio,terms28,Protein crystallography
bio,terms29,Glycan array
bio,terms30,Epigenetic regulation
bio,terms31,Isotope labeling
bio,terms32,Nanoparticle delivery
bio,terms33,Synthetic biology
bio,terms34,Gene silencing
bio,terms35,Pharmacokinetic modeling
bio,terms36,Chemogenetic activation
bio,terms37,Tissue engineering
bio,terms38,Metagenomic sequencing
bio,terms39,Proteomic mapping
bio,terms40,Ligand binding
bio,terms41,Autoimmune assay
bio,terms42,Hormone receptor
bio,terms43,Catalytic antibody
bio,terms44,Drug repurposing
bio,terms45,Enzyme immobilization
bio,terms46,Cellular senescence
bio,terms47,Antibody engineering
bio,terms48,Genetic linkage
bio,terms49,Neural prosthetics
bio,terms50,Virus neutralization
comp,terms51,Hash Tables
comp,terms52,Graph Isomorphism
comp,terms53,Support Vectors
comp,terms54,Kernel method
comp,terms55,Gradient Descent
comp,terms56,Monte Carlo
comp,terms57,Markov Chains
comp,terms58,Boolean Algebra
comp,terms59,Fourier Transform
comp,terms60,Laplace Transform
comp,terms61,Eigen Decomposition
comp,terms62,Spectral Clustering
comp,terms63,Principal Components
comp,terms64,Linear Regression
comp,terms65,Logistic Regression
comp,terms66,Decision Trees
comp,terms67,Random Forests
comp,terms68,Gradient Boosting
comp,terms69,Naive Bayes
comp,terms70,Hidden Markov
comp,terms71,Dynamic Programming
comp,terms72,Convex Optimization
comp,terms73,Finite Automata
comp,terms74,Turing Machines
comp,terms75,Lambda Calculus
comp,terms76,Homomorphic Encryption
comp,terms77,Differential Privacy
comp,terms78,Block Cipher
comp,terms79,Public Key
comp,terms80,Merkle Trees
comp,terms81,Bloom Filters
comp,terms82,Skip Lists
comp,terms83,Trie Structures
comp,terms84,Neural Networks
comp,terms85,Recurrent Networks
comp,terms86,Convolutional Networks
comp,terms87,Attention Mechanisms
comp,terms88,Graph Embeddings
comp,terms89,Subspace Learning
comp,terms90,Bandit Algorithms
comp,terms91,Bayesian Inference
comp,terms92,Gibbs Sampling
comp,terms93,Metropolis Hastings
comp,terms94,Stochastic Gradient
comp,terms95,Backpropagation Algorithm
comp,terms96,Bitonic Sort
comp,terms97,Quick Select
comp,terms98,Prefix Sum
comp,terms99,Fast Multiplication
comp,terms100,Elliptic Curves
soc,terms101,social capital
soc,terms102,cognitive dissonance
soc,terms103,cultural relativism
soc,terms104,rational choice
soc,terms105,symbolic interactionism
soc,terms106,participant observation
soc,terms107,gender stratification
soc,terms108,ethnographic fieldwork
soc,terms109,identity politics
soc,terms110,power dynamics
soc,terms111,innovation diffusion
soc,terms112,status attainment
soc,terms113,altruistic punishment
soc,terms114,framing effects
soc,terms115,social networks
soc,terms116,collective efficacy
soc,terms117,institutional isomorphism
soc,terms118,public goods
soc,terms119,meritocratic ideology
soc,terms120,role conflict
soc,terms121,voting behavior
soc,terms122,social mobility
soc,terms123,reciprocity norms
soc,terms124,crowd psychology
soc,terms125,agenda setting
soc,terms126,opinion leadership
soc,terms127,actor network
soc,terms128,peer effects
soc,terms129,organizational culture
soc,terms130,intersectional analysis
soc,terms131,bounded rationality
soc,terms132,groupthink phenomenon
soc,terms133,behavioral economics
soc,terms134,social constructivism
soc,terms135,resource mobilization
soc,terms136,value orientation
soc,terms137,policy diffusion
soc,terms138,kinship terminology
soc,terms139,preference falsification
soc,terms140,role strain
soc,terms141,attitude polarization
soc,terms142,structural functionalism
soc,terms143,cultural hegemony
soc,terms144,modernization theory
soc,terms145,dependency theory
soc,terms146,social desirability
soc,terms147,authoritarian personality
soc,terms148,game theory
soc,terms149,class consciousness
soc,terms150,symbolic violence
phy,terms151,Quantum tunneling
phy,terms152,Lorentz transformation
phy,terms153,Fermi surface
phy,terms154,Maxwell equations
phy,terms155,Special relativity
phy,terms156,General relativity
phy,terms157,Doppler effect
phy,terms158,Wavefunction collapse
phy,terms159,Blackbody radiation
phy,terms160,Newtonian mechanics
phy,terms161,Harmonic oscillator
phy,terms162,Schrödinger equation
phy,terms163,Heisenberg uncertainty
phy,terms164,Thermal conductivity
phy,terms165,Magnetohydrodynamic turbulence
phy,terms166,Solar wind
phy,terms167,Cosmic inflation
phy,terms168,Gravitational lensing
phy,terms169,Particle acceleration
phy,terms170,Nuclear fusion
phy,terms171,Stellar nucleosynthesis
phy,terms172,Vacuum polarization
phy,terms173,Higgs mechanism
phy,terms174,Weak interaction
phy,terms175,Superconducting qubits
phy,terms176,Quantum entanglement
phy,terms177,Photoelectric effect
phy,terms178,Compton scattering
phy,terms179,Kelvin circulation
phy,terms180,Hall effect
phy,terms181,Brownian motion
phy,terms182,Planck constant
phy,terms183,Radial velocity
phy,terms184,Optical lattice
phy,terms185,Landau damping
phy,terms186,Zeeman splitting
phy,terms187,Synchrotron radiation
phy,terms188,Bose condensation
phy,terms189,Casimir effect
phy,terms190,Surface plasmon
phy,terms191,Spin precession
phy,terms192,Anderson localization
phy,terms193,Kapitza resistance
phy,terms194,Sagnac interferometry
phy,terms195,Lattice gauge
phy,terms196,Mie scattering
phy,terms197,Rydberg blockade
phy,terms198,Fabry–Perot
phy,terms199,Raman spectroscopy
phy,terms200,Bragg diffraction
